Tweet_Text,Reply_Count,Retweet_Count,Like_Count,View_Count,Language,Source,Username,Location,year,month,day,hour,minute,weekday,Post_ID,ID_Source,month_name,clean_Text,bert_sentiment,bert_neg,bert_neu,bert_pos,emotion_type,location_cleaned,topic_id,topic_probability,topic_words,topic_prob
"Blessing is protected against cervical cancer. 
The HPV vaccine is available for free for girls ages 9-14 in Nigeria.
#vaccineswork
#hpvvaccine

@gavi @NphcdaNG
@awdf01 @AMPLIFY_Girls
@IVACtweets @Wavaorg @Fmohnigeria https://t.co/yYGCOksrUZ",0.0,1.0,6.0,137.0,English,Twitter,VaccineNet_NG,Lagos,2024,6,27,14,27,Thursday,"=""1806318372742635560""",Platform_ID,June,Blessing is protected against cervical cancer The HPV vaccine is available for free for girls ages in Nigeria,positive,0,0,1,none,"Ikeja, Lagos",0,0.20200713956926364,"the, vaccine, of, in, to",0.21642154492004134
"New month, new experiences, new opportunities, new blessings

#HappyNewMonth #july #goodhealth https://t.co/ow5fHs7k6K",0.0,0.0,2.0,50.0,English,Twitter,VaccineNet_NG,Lagos,2024,7,1,15,2,Monday,"=""1807776904805580853""",Platform_ID,July,New month new experiences new opportunities new blessings,positive,0,0,1,none,"Ikeja, Lagos",1,0.46432299017730616,"so, congratulations, good, thank, baby",0.7329418774336938
"Happy Children's Day 2024!

We celebrated in style with the amazing Glow Girls from Bassan Giwa! We took them on an unforgettable adventure to the Discovery Museum in Abuja, where they experienced Nigeria's rich history and culture like never before!
@GlobalGirlsGLOW @awdf01 https://t.co/SgeYfhJkir",1.0,0.0,6.0,66.0,English,Twitter,VaccineNet_NG,Kano,2024,5,27,20,24,Monday,"=""1795174230973149292""",Platform_ID,May,Happy Childrens Day We celebrated in style with the amazing Glow Girls from Bassan Giwa We took them on an unforgettable adventure to the Discovery Museum in Abuja where they experienced Nigerias rich history and culture like never before,positive,0,0,1,distrust,"Kano, Kano",8,0.3214149710819227,"nigeria, answers, offer, win, falls",0.4780918940161107
"Today,  we  join the rest of the world to begin the 16 days of activism against gender based violence. 

A world where women are respected, safe and empowered is possible.

Unite! Invest to end violence against women and girls. #16DaysOfActivism2023 #EndGBV https://t.co/B3y4QBWc1r",0.0,9.0,15.0,293.0,English,Twitter,VaccineNet_NG,Niger,2023,11,25,12,57,Saturday,"=""1728382414890651881""",Platform_ID,November,Today we join the rest of the world to begin the days of activism against gender based violence A world where women are respected safe and empowered is possible Unite Invest to end violence against women and girls,positive,0,0,1,none,"Minna, Niger",0,0.17344856667847483,"the, vaccine, of, in, to",0.19924774293042974
"Happening now!
HPV Vaccine Champions' Training.
@VaccineNet_NG  is equipping and building the capacity of 10 wards representatives, health educators of AMAC and Bwari in FCT to advocate for HPV vaccination uptake, address misconceptions and increase awareness of the vaccine in https://t.co/b4ksS6pJ9J",1.0,8.0,23.0,307.0,English,Twitter,VaccineNet_NG,Lagos,2023,11,1,12,15,Wednesday,"=""1719674410095849633""",Platform_ID,November,Happening now HPV Vaccine Champions Training is equipping and building the capacity of wards representatives health educators of AMAC and Bwari in FCT to advocate for HPV vaccination uptake address misconceptions and increase awareness of the vaccine in,positive,0,0,1,none,"Ikeja, Lagos",0,0.19701952877657558,"the, vaccine, of, in, to",0.23349461126070534
"Let us keep breaking barriers and supporting our girls to embrace their beauty and power!

We did not stop there, we went a little extra to talk about HPV vaccination as a cost-effective way to prevent cervical cancer.
#MenstrualHygieneDay #PeriodFriendlyNigeria #EmpoweringGirls https://t.co/6NAouJDf07",0.0,1.0,4.0,83.0,English,Twitter,VaccineNet_NG,Lagos,2024,5,28,10,50,Tuesday,"=""1795392136826785865""",Platform_ID,May,Let us keep breaking barriers and supporting our girls to embrace their beauty and power We did not stop there we went a little extra to talk about HPV vaccination as a costeffective way to prevent cervical cancer,positive,0,0,1,none,"Ikeja, Lagos",0,0.1688607989837632,"the, vaccine, of, in, to",0.18981199490463319
"Can #PrEP be used as a sole method of HIV prevention, or should it be combined with other strategies? @IHVNigeria 
#PrEPTalk https://t.co/fGKQYPM3M1",1.0,1.0,1.0,85.0,English,Twitter,VaccineNet_NG,Lagos,2024,4,18,12,31,Thursday,"=""1780922120115024006""",Platform_ID,April,Can be used as a sole method of HIV prevention or should it be combined with other strategies,positive,0,0,1,none,"Ikeja, Lagos",0,0.2283980395716831,"the, vaccine, of, in, to",0.20871853251428585
"What a phenomenal #WomensDay celebration with the incredible women of IDDO community! From empowering discussions to exciting activities, we had an absolute blast! Here's a glimpse of the fun we had:
#WomensHistoryMonth 
#IWD2024 
@unwomenNG 
@womensday 
@unwomenafrica 
@awdf01 https://t.co/CLufn8qsDU",1.0,1.0,3.0,50.0,English,Twitter,VaccineNet_NG,Lagos,2024,3,13,10,41,Wednesday,"=""1767848465600499890""",Platform_ID,March,What a phenomenal celebration with the incredible women of IDDO community From empowering discussions to exciting activities we had an absolute blast Heres a glimpse of the fun we had,positive,0,0,1,none,"Ikeja, Lagos",1,1.0,"so, congratulations, good, thank, baby",1.0
"I was born on the 1st day of Jan., 1993 at Sanyinna, Tambuwal Local Government Area, Sokoto State, Nigeria. Studied at UDUSOK, KSUSTA & currently work at NAUB.",0.0,0.0,1.0,81.0,English,Twitter,YMSanyinna,Sokoto,2013,12,9,0,24,Monday,SYN_82e16e4c52c9ed7c,Synthetic_ID,December,I was born on the st day of Jan at Sanyinna Tambuwal Local Government Area Sokoto State Nigeria Studied at UDUSOK KSUSTA currently work at NAUB,positive,0,0,1,none,"Sokoto, Sokoto",8,0.34176154737315834,"nigeria, answers, offer, win, falls",0.7249483962883326
"Muslim| Medical Doctor| Global health enthusiast | Data Scientist in making| Hobbies: learning, creating, innovating.
Aspiring to do great things",0.0,0.0,1.0,81.0,English,Facebook,nasai3,Zamfara,2011,6,25,16,10,Saturday,SYN_34b1fac29346b738,Synthetic_ID,June,Muslim Medical Doctor Global health enthusiast Data Scientist in making Hobbies learning creating innovating Aspiring to do great things,positive,0,0,1,none,"Gusau, Zamfara",3,0.19828206257500616,,0.15541236417604312
